Product_Name,Price,Rating,RnR,Page,Processor,RAM,Storage,Battery,Screen_size,Brand,Front_camera
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",8199.0,4.4,"5,200 Ratings & 302 Reviews",1,MediaTek G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Li-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"Infinix HOT 20 Play (Racing Black, 64 GB)",8199.0,4.4,"5,200 Ratings & 302 Reviews",1,MediaTek G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Li-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"Infinix HOT 20 Play (Aurora Green, 64 GB)",8199.0,4.4,"5,200 Ratings & 302 Reviews",1,MediaTek G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Li-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"Infinix HOT 20 Play (Luna Blue, 64 GB)",8199.0,4.4,"5,200 Ratings & 302 Reviews",1,MediaTek G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Li-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"realme C33 (Night Sea, 32 GB)",8999.0,4.4,"17,759 Ratings & 765 Reviews",1,Unisoc T612 Processor,3 GB RAM, 32 GB ROM,5000 mAh Lithium Ion Battery,"['16.51 cm', '6.5 inch']",3, 5MP Front
"Infinix Smart 6 HD (Origin Blue, 32 GB)",5599.0,4.4,"19,401 Ratings & 1,092 Reviews",1,Mediatek Helio A22 Processor,2 GB RAM, 32 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"vivo T1 44W (Starry Sky, 128 GB)",14499.0,4.5,"81,911 Ratings & 5,783 Reviews",1,Qualcomm Snapdragon 680 Processor,4 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",4, 16MP Front
"Infinix Smart 6 HD (Aqua Sky, 32 GB)",5599.0,4.4,"19,401 Ratings & 1,092 Reviews",1,Mediatek Helio A22 Processor,2 GB RAM, 32 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"Infinix Smart 6 HD (Force Black, 32 GB)",5599.0,4.4,"19,401 Ratings & 1,092 Reviews",1,Mediatek Helio A22 Processor,2 GB RAM, 32 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"realme C33 (Sandy Gold, 32 GB)",8999.0,4.4,"17,759 Ratings & 765 Reviews",1,Unisoc T612 Processor,3 GB RAM, 32 GB ROM,5000 mAh Lithium Ion Battery,"['16.51 cm', '6.5 inch']",3, 5MP Front
"vivo T1 44W (Midnight Galaxy, 128 GB)",15999.0,4.4,"48,356 Ratings & 3,612 Reviews",1,Qualcomm Snapdragon 680 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",6, 16MP Front
"vivo T1 44W (Ice Dawn, 128 GB)",14499.0,4.5,"81,911 Ratings & 5,783 Reviews",1,Qualcomm Snapdragon 680 Processor,4 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",4, 16MP Front
"realme C33 (Aqua Blue, 64 GB)",9999.0,4.4,"56,001 Ratings & 2,444 Reviews",1,Unisoc T612 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Ion Battery,"['16.51 cm', '6.5 inch']",4, 5MP Front
"POCO C31 (Royal Blue, 64 GB)",7749.0,4.3,"1,94,459 Ratings & 11,495 Reviews",1,MediaTek G35 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.59 cm', '6.53 inch']",4, 5MP Front
"realme C33 (Night Sea, 64 GB)",9999.0,4.4,"56,001 Ratings & 2,444 Reviews",1,Unisoc T612 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Ion Battery,"['16.51 cm', '6.5 inch']",4, 5MP Front
"realme C33 (Aqua Blue, 32 GB)",8999.0,4.4,"17,759 Ratings & 765 Reviews",1,Unisoc T612 Processor,3 GB RAM, 32 GB ROM,5000 mAh Lithium Ion Battery,"['16.51 cm', '6.5 inch']",3, 5MP Front
"MOTOROLA g52 (Charcoal Grey, 128 GB)",12999.0,4.2,"25,192 Ratings & 3,046 Reviews",1,Qualcomm Snapdragon 680 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.76 cm', '6.6 inch']",6, 16MP Front
"MOTOROLA e40 (Carbon Gray, 64 GB)",8299.0,4.1,"66,710 Ratings & 6,388 Reviews",1,UNISOC T700 Processor,4 GB RAM, 64 GB ROM,5000 mAh Battery,"['16.51 cm', '6.5 inch']",4, 8MP Front
"vivo T1 44W (Starry Sky, 128 GB)",15999.0,4.4,"48,356 Ratings & 3,612 Reviews",1,Qualcomm Snapdragon 680 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",6, 16MP Front
"vivo T1 44W (Midnight Galaxy, 128 GB)",17999.0,4.3,"5,524 Ratings & 465 Reviews",1,Qualcomm Snapdragon 680 Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",8, 16MP Front
"vivo T1 44W (Midnight Galaxy, 128 GB)",14499.0,4.5,"81,911 Ratings & 5,783 Reviews",1,Qualcomm Snapdragon 680 Processor,4 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",4, 16MP Front
"vivo T1 44W (Starry Sky, 128 GB)",17999.0,4.3,"5,524 Ratings & 465 Reviews",1,Qualcomm Snapdragon 680 Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",8, 16MP Front
"MOTOROLA G62 5G (Frosted Blue, 128 GB)",15999.0,4.1,"2,967 Ratings & 312 Reviews",1,Qualcomm Snapdragon 695 5G Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium Polymer Battery,"['16.64 cm', '6.55 inch']",8, 16MP Front
"Infinix Smart 6 (Light Sea Green, 64 GB)",6499.0,4.3,"29,205 Ratings & 2,011 Reviews",1,Mediatek Helio A22 Processor,2 GB RAM, 64 GB ROM,5000 mAh Li-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"MOTOROLA g52 (Charcoal Grey, 128 GB)",12999.0,4.2,"25,192 Ratings & 3,046 Reviews",2,Qualcomm Snapdragon 680 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.76 cm', '6.6 inch']",6, 16MP Front
"REDMI Note 11 SE (Cosmic White, 64 GB)",11999.0,4.3,"36,139 Ratings & 2,246 Reviews",2,Mediatek Helio G95 Octa Core Processor,6 GB RAM, 64 GB ROM,5000 mAh Lithium Polymer Battery,"['16.33 cm', '6.43 inch']",6, 13MP Front
"MOTOROLA G62 5G (Frosted Blue, 128 GB)",15999.0,4.1,"2,967 Ratings & 312 Reviews",2,Qualcomm Snapdragon 695 5G Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium Polymer Battery,"['16.64 cm', '6.55 inch']",8, 16MP Front
"MOTOROLA G32 (Mineral Gray, 64 GB)",10499.0,4.2,"24,479 Ratings & 2,406 Reviews",2,Qualcomm Snapdragon 680 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Polymer Battery,"['16.64 cm', '6.55 inch']",4, 16MP Front
"MOTOROLA G62 5G (Midnight Gray, 128 GB)",14999.0,4.1,"14,432 Ratings & 1,477 Reviews",2,Qualcomm Snapdragon 695 5G Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Polymer Battery,"['16.64 cm', '6.55 inch']",6, 16MP Front
"MOTOROLA g42 (Atlantic Green, 64 GB)",10999.0,4.2,"4,719 Ratings & 552 Reviews",2,Qualcomm Snapdragon 680 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium polymer Battery,"['16.43 cm', '6.47 inch']",4, 16MP Front
"MOTOROLA g52 (Charcoal Grey, 64 GB)",10999.0,4.2,"9,077 Ratings & 1,136 Reviews",2,Qualcomm Snapdragon 680 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Battery,"['16.76 cm', '6.6 inch']",4, 16MP Front
"REDMI 9i Sport (Coral Green, 64 GB)",7499.0,4.3,"2,27,628 Ratings & 13,426 Reviews",2,MediaTek Helio G25 Processor,4 GB RAM, 64 GB ROM,5000 mAh Li-Polymer Battery,"['16.59 cm', '6.53 inch']",4, 5MP Front
"POCO C31 (Shadow Gray, 64 GB)",7749.0,4.3,"1,94,459 Ratings & 11,495 Reviews",2,MediaTek Helio G35 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.59 cm', '6.53 inch']",4, 5MP Front
"Infinix Smart 6 (Light Sea Green, 64 GB)",6499.0,4.3,"29,205 Ratings & 2,011 Reviews",2,Mediatek Helio A22 Processor,2 GB RAM, 64 GB ROM,5000 mAh Li-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"Infinix Hot 12 (7° Purple, 64 GB)",8499.0,4.3,"16,926 Ratings & 1,229 Reviews",2,Meditek Helio G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Lithium-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"POCO M4 Pro (Cool Blue, 128 GB)",12999.0,4.3,"1,43,075 Ratings & 12,956 Reviews",2,Mediatek Helio G96 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.33 cm', '6.43 inch']",6, 16MP Front
"REDMI 10 (Caribbean Green, 64 GB)",9999.0,4.3,"1,79,756 Ratings & 11,713 Reviews",2,Qualcomm Snapdragon 680 Processor,4 GB RAM, 64 GB ROM,6000 mAh Lithium Polymer Battery,"['17.02 cm', '6.7 inch']",4, 5MP Front
"POCO M4 Pro (Cool Blue, 64 GB)",11999.0,4.3,"1,43,075 Ratings & 12,956 Reviews",2,Mediatek Helio G96 Processor,6 GB RAM, 64 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.33 cm', '6.43 inch']",6, 16MP Front
"OPPO Reno8T 5G (Midnight Black, 128 GB)",29999.0,,,2,Qualcomm Snapdragon 695 Processor,8 GB RAM, 128 GB ROM,4800 mAh Lithium-ion Polymer Battery,"['17.02 cm', '6.7 inch']",8, 32MP Front
"POCO M4 Pro (Power Black, 128 GB)",13999.0,4.3,"13,407 Ratings & 1,179 Reviews",2,Mediatek Helio G96 Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.33 cm', '6.43 inch']",8, 16MP Front
"Infinix Hot 12 (Exploratory Blue, 64 GB)",8499.0,4.3,"16,926 Ratings & 1,229 Reviews",2,Meditek Helio G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Lithium-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"OPPO Reno8T 5G (Sunrise Gold, 128 GB)",29999.0,,,2,Qualcomm Snapdragon 695 Processor,8 GB RAM, 128 GB ROM,4800 mAh Lithium-ion Polymer Battery,"['17.02 cm', '6.7 inch']",8, 32MP Front
"POCO M4 Pro 5G (Cool Blue, 64 GB)",12999.0,4.3,"37,804 Ratings & 3,335 Reviews",2,Mediatek Dimensity 810 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.76 cm', '6.6 inch']",4, 16MP Front
"Infinix Smart 6 (Polar Black, 64 GB)",6499.0,4.3,"29,205 Ratings & 2,011 Reviews",2,Mediatek Helio A22 Processor,2 GB RAM, 64 GB ROM,5000 mAh Li-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"POCO M4 5G (Cool Blue, 128 GB)",13999.0,4.2,"25,141 Ratings & 2,043 Reviews",2,Mediatek Dimensity 700 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Ion Polymer Battery,"['16.71 cm', '6.58 inch']",6, 8MP Front
"Infinix Smart 6 (Heart Of Ocean, 64 GB)",6499.0,4.3,"29,205 Ratings & 2,011 Reviews",2,Mediatek Helio A22 Processor,2 GB RAM, 64 GB ROM,5000 mAh Li-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"Infinix Smart 6 (Starry Purple, 64 GB)",6499.0,4.3,"29,205 Ratings & 2,011 Reviews",2,Mediatek Helio A22 Processor,2 GB RAM, 64 GB ROM,5000 mAh Li-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"REDMI 10 (Midnight Black, 64 GB)",9999.0,4.3,"1,79,756 Ratings & 11,713 Reviews",2,Qualcomm Snapdragon 680 Processor,4 GB RAM, 64 GB ROM,6000 mAh Lithium Polymer Battery,"['17.02 cm', '6.7 inch']",4, 5MP Front
"MOTOROLA g31 (Meteorite Grey, 64 GB)",9699.0,4.2,"32,892 Ratings & 3,770 Reviews",3,Mediatek Helio G85 Processor,4 GB RAM, 64 GB ROM,5000 mAh LiPo Battery,"['16.26 cm', '6.4 inch']",4, 13MP Front
"Infinix Hot 20 5G (Blaster Green, 128 GB)",12999.0,4.2,154 Ratings & 20 Reviews,3,Dimensity 810 Processor,6 GB RAM, 128 GB ROM,5000 mAh Li-ion Polymer Battery,"['16.76 cm', '6.6 inch']",6, 8MP Front
"OPPO A17k (Gold, 64 GB)",10340.0,4.3,82 Ratings & 1 Reviews,3,Mediatek Helio P35 Processor,3 GB RAM, 64 GB ROM,5000 mAh Battery,"['16.66 cm', '6.56 inch']",3, 5MP Front
"POCO M4 5G (Cool Blue, 128 GB)",13999.0,4.2,"25,141 Ratings & 2,043 Reviews",3,Mediatek Dimensity 700 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Ion Polymer Battery,"['16.71 cm', '6.58 inch']",6, 8MP Front
"POCO X4 Pro 5G (Yellow, 128 GB)",19999.0,4.2,"69,194 Ratings & 6,988 Reviews",3,Qualcomm Snapdragon 695 5G Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.94 cm', '6.67 inch']",6, 16MP Front
"realme 10 Pro+ 5G (Nebula Blue, 256 GB)",27999.0,4.5,"4,441 Ratings & 551 Reviews",3,Mediatek Dimensity 1080 5G Processor,8 GB RAM, 256 GB ROM,5000 mAh Battery,"['17.02 cm', '6.7 inch']",8, 16MP Front
"MOTOROLA g31 (Baby Blue, 64 GB)",9699.0,4.2,"32,892 Ratings & 3,770 Reviews",3,Mediatek Helio G85 Processor,4 GB RAM, 64 GB ROM,5000 mAh LiPo Battery,['16.26 cm'],4, 13MP Front
"POCO M4 Pro 5G (Cool Blue, 128 GB)",15999.0,4.2,"11,155 Ratings & 924 Reviews",3,Mediatek Dimensity 810 Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.76 cm', '6.6 inch']",8, 16MP Front
"Infinix Hot 12 (Turquoise Cyan, 64 GB)",8499.0,4.3,"16,926 Ratings & 1,229 Reviews",3,Meditek Helio G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Lithium-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"Infinix Hot 12 (Polar Black, 64 GB)",8499.0,4.3,"16,926 Ratings & 1,229 Reviews",3,Meditek Helio G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Lithium-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"POCO M4 5G (Power Black, 128 GB)",13999.0,4.2,"25,141 Ratings & 2,043 Reviews",3,Mediatek Dimensity 700 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Ion Polymer Battery,"['16.71 cm', '6.58 inch']",6, 8MP Front
"POCO X4 Pro 5G (Laser Blue, 128 GB)",21999.0,4.1,"15,892 Ratings & 1,650 Reviews",3,Qualcomm Snapdragon 695 5G Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.94 cm', '6.67 inch']",8, 16MP Front
"POCO M4 Pro (Yellow, 64 GB)",11999.0,4.3,"1,43,075 Ratings & 12,956 Reviews",3,Mediatek Helio G96 Processor,6 GB RAM, 64 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.33 cm', '6.43 inch']",6, 16MP Front
"POCO M4 5G (Power Black, 64 GB)",11999.0,4.2,"50,344 Ratings & 4,012 Reviews",3,Mediatek Dimensity 700 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Ion Polymer Battery,"['16.71 cm', '6.58 inch']",4, 8MP Front
"MOTOROLA g22 (Cosmic Black, 64 GB)",9499.0,3.7,"28,250 Ratings & 3,371 Reviews",3,Mediatek Helio G37 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Ion Battery,"['16.51 cm', '6.5 inch']",4, 16MP Front
"POCO M4 Pro (Cool Blue, 128 GB)",12999.0,4.3,"1,43,075 Ratings & 12,956 Reviews",3,Mediatek Helio G96 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.33 cm', '6.43 inch']",6, 16MP Front
"MOTOROLA g42 (Metallic Rose, 64 GB)",10999.0,4.2,"4,719 Ratings & 552 Reviews",3,Qualcomm Snapdragon 680 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium polymer Battery,"['16.43 cm', '6.47 inch']",4, 16MP Front
"MOTOROLA G62 5G (Midnight Gray, 128 GB)",15999.0,4.1,"2,967 Ratings & 312 Reviews",3,Qualcomm Snapdragon 695 5G Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium Polymer Battery,"['16.64 cm', '6.55 inch']",8, 16MP Front
"realme C30 (Lake Blue, 32 GB)",5999.0,4.3,"77,459 Ratings & 4,142 Reviews",3,Unisoc T612 Processor,2 GB RAM, 32 GB ROM,5000 mAh Lithium Ion Battery,"['16.51 cm', '6.5 inch']",2, 5MP Front
"APPLE iPhone 14 (Midnight, 128 GB)",72499.0,4.7,"10,833 Ratings & 476 Reviews",3, 6 Core Processor Processor,,128 GB ROM,,"['15.49 cm', '6.1 inch']",128, 12MP Front
"MOTOROLA G32 (Satin Silver, 64 GB)",10499.0,4.2,"24,479 Ratings & 2,406 Reviews",3,Qualcomm Snapdragon 680 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Polymer Battery,"['16.64 cm', '6.55 inch']",4, 16MP Front
"MOTOROLA g52 (Metallic White, 128 GB)",12999.0,4.2,"25,192 Ratings & 3,046 Reviews",3,Qualcomm Snapdragon 680 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.76 cm', '6.6 inch']",6, 16MP Front
"APPLE iPhone 14 (Purple, 128 GB)",72499.0,4.7,"10,833 Ratings & 476 Reviews",3, 6 Core Processor Processor,,128 GB ROM,,"['15.49 cm', '6.1 inch']",128, 12MP Front
"MOTOROLA G62 5G (Frosted Blue, 128 GB)",14999.0,4.1,"14,432 Ratings & 1,477 Reviews",3,Qualcomm Snapdragon 695 5G Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Polymer Battery,"['16.64 cm', '6.55 inch']",6, 16MP Front
"POCO C50 (Country Green, 32 GB)",6999.0,4.3,796 Ratings & 46 Reviews,4,Mediatek Helio A22 Processor0 GHz Processor,3 GB RAM, 32 GB ROM,5000 mAh Lithium Polymer Battery,"['16.56 cm', '6.52 inch']",3, 5MP Front
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",16999.0,4.3,"1,50,272 Ratings & 12,137 Reviews",4,Qualcomm Snapdragon 750G Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Ion Battery,"['16.76 cm', '6.6 inch']",6, 8MP Front
"OPPO K10 (Blue Flame, 128 GB)",13990.0,4.4,"1,00,169 Ratings & 7,347 Reviews",4,Qualcomm Snapdragon 680 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Ion Battery,"['16.74 cm', '6.59 inch']",6, 16MP Front
"POCO M4 5G (Yellow, 64 GB)",11999.0,4.2,"50,344 Ratings & 4,012 Reviews",4,Mediatek Dimensity 700 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Ion Polymer Battery,"['16.71 cm', '6.58 inch']",4, 8MP Front
